Category,Title,Description,Published date
"Events","Fugiat enim proiden","Distinctio Occaecat","-"
"Events","Empowering Inclusion Through Technology: Digital Skills Training for Persons with Disabilities Underway in Uganda","In a groundbreaking move to close the digital divide and foster inclusive development, the National Union of Disabled Persons of Uganda (NUDIPU), in partnership with the Uganda Communications Commission (UCC) and Eight Tech Consults Ltd, has rolled out a comprehensive Digital Skills Training Program for Persons with Disabilities (PWDs)Equiping hundreds of Persons with Disabilities (PWDs) across multiple districts with essential digital literacy and ICT skills to thrive in an increasingly digital world.","-"
"Events","Empowering Persons with Disabilities Through ICT-Driven Profiling","As part of our ongoing commitment to fostering inclusivity and equitable access to services, the Persons with Disabilities (PWDs) Profiling Project has entered a new, strategic phase. Building on the insights and lessons from the recently concluded first phase. The initiative, of the ongoing ICT for Persons with Disabilities (ICT4PWD) program, seeks to generate accurate data to inform planning, policy, and service delivery for the country’s estimated 12.4% of citizens living with a disability.","-"
"Events","Phase II of the ICT for Persons with Disabilities Program Officially Kicks Off","We are excited to announce the official launch of Phase II of the ICT for Persons with Disabilities (PWDs) Program. On 20th May 2025, the Uganda Communications Commission (UCC), in partnership with the National Union of Disabled Persons of Uganda (NUDIPU) and Eight Tech Consults Ltd, held an inception meeting to kickstart this transformative initiative.","-"
"Events","Digital Inclusion: A Fundamental Right For Persons With Disabilities In Uganda","In an increasingly digital world, access to Information and Communication Technologies (ICTs) is not a privilege, it is a fundamental right. For Persons with Disabilities (PWDs) in Uganda, digital inclusion represents the gateway to opportunity, empowerment, and active participation in modern society.
The National Digital Observatory is a landmark initiative driving this vision forward. Designed to promote digital inclusion and accessibility, it serves as a centralized platform that empowers PWDs by ensuring they are not left behind in Uganda’s digital transformation journey.","-"
"Events","Building Inclusive Workplaces for Persons with Disabilities: A Shared Responsibility","Building Inclusive Workplaces for Persons with Disabilities: A Shared Responsibility","-"
"Events","UCC COLLABORATES WITH NUDIPU AND EIGHT TECH CONSULTS TO ENHANCE DIGITAL SKILLS FOR PERSONS WITH DISABILITIES IN UGANDA","The Uganda Communications Commission (UCC) and the Uganda Communications Universal
Service Access Fund (UCUSAF) are teaming up with the National Union of Disabled Persons of
Uganda (NUDIPU) and Eight Tech Consults Ltd to enhance digital skills among Persons with
Disabilities (PWDs) in Uganda. This collaboration is part of a three-year phased program aimed
at bridging the digital divide for PWDs, now in its third phase.","-"
"Events","Needs assessment internal workshop","Needs assessment internal workshop ahead of digital skills training for persons with disabilities","-"
"Announcements","OJCARE : Wheel chair Distribution Program 2024","Wheel chair Distribution Program 2024","-"
"Events","Zambia Information and Communications Technology Authority (ZICTA) Benchmarking on inclusive ICT for persons with disability program in Uganda","Zambia Information and Communications Technology Authority (ZICTA) Benchmarking on inclusive ICT for persons with disability program in Uganda","-"
